
At 2016-10-18 22:29:30  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 0.71

At 2016-10-18 22:37:14  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.15

At 2016-10-18 22:44:15  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 1.88

At 2016-10-18 22:50:37  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 3.07

At 2016-10-18 22:56:34  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.5, decay = 5.01
MCMLE estimation did not converge after 50 iterations. The estimated coefficients may not be accurate. Estimation may be resumed by passing the coefficients as initial values; see 'init' under ?control.ergm for details.


At 2016-10-18 23:22:06  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.1

At 2016-10-18 23:26:41  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.16

At 2016-10-18 23:31:16  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.27

At 2016-10-18 23:35:12  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.43

At 2016-10-18 23:38:57  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 0.71

At 2016-10-18 23:43:29  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 1.15

At 2016-10-18 23:48:07  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 1.88

At 2016-10-18 23:52:39  Sim'ing on gwd0.25, edges constrained: FALSE, theta fixed: FALSE, mean degree: 10, coef: -0.17, decay = 3.07

