
At 2016-10-16 01:57:43  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.1

At 2016-10-16 02:03:52  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.16

At 2016-10-16 02:09:25  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.27

At 2016-10-16 02:15:58  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.43

At 2016-10-16 02:22:33  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 0.71

At 2016-10-16 02:28:49  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.15

At 2016-10-16 02:34:23  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 1.88

At 2016-10-16 02:40:52  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 3.07

At 2016-10-16 02:47:23  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.17, decay = 5.01

At 2016-10-16 02:53:43  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.1

At 2016-10-16 03:05:29  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.16

At 2016-10-16 03:18:05  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.27

At 2016-10-16 03:30:07  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.43

At 2016-10-16 03:42:54  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 0.71

At 2016-10-16 03:53:08  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.15

At 2016-10-16 04:05:50  Sim'ing on degreepopularity, edges constrained: TRUE, theta fixed: FALSE, mean degree: 3, coef: 0.5, decay = 1.88

